tipo,NUM_TESIS,ID,AÑO,TABLAS,DIAGRAMAS,ANALITICAS,PAGS,NUM_TOT,NUM_GRAFICA,DISPERSION,BARRAS,MAPAS,CIRCULAR,SERIE_TIEMPO,HISTOGRAMA,CAJAB,OTRAS,3D,REJILLA,TRAMA,ETIQUETAS,FONDO_OBS,MARCO,OTRO,1VAR,2VAR,3+VAR,SI_EXPLIC,NO_EXPLIC,MULTI_NUM,PAG,OBSERVACIONES
1,5,IAC-2001-PUI,2001,19,0,0,86,35,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,18,
1,5,IAC-2001-PUI,2001,19,0,0,86,36,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,18,
1,5,IAC-2001-PUI,2001,19,0,0,86,37,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,20,
1,5,IAC-2001-PUI,2001,19,0,0,86,38,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,21,
1,5,IAC-2001-PUI,2001,19,0,0,86,39,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22,
1,5,IAC-2001-PUI,2001,19,0,0,86,40,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,27,
1,5,IAC-2001-PUI,2001,19,0,0,86,41,7,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,28,
1,5,IAC-2001-PUI,2001,19,0,0,86,42,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,29,
1,5,IAC-2001-PUI,2001,19,0,0,86,43,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,30,
1,5,IAC-2001-PUI,2001,19,0,0,86,44,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33,
1,5,IAC-2001-PUI,2001,19,0,0,86,45,11,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,35,
1,5,IAC-2001-PUI,2001,19,0,0,86,46,12,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,38,
1,5,IAC-2001-PUI,2001,19,0,0,86,47,13,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,39,
1,5,IAC-2001-PUI,2001,19,0,0,86,48,14,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,40,
1,5,IAC-2001-PUI,2001,19,0,0,86,49,15,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,41,
1,5,IAC-2001-PUI,2001,19,0,0,86,50,16,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,44,
1,5,IAC-2001-PUI,2001,19,0,0,86,51,17,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,45,
1,5,IAC-2001-PUI,2001,19,0,0,86,52,18,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,45,
1,5,IAC-2001-PUI,2001,19,0,0,86,53,19,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,46,
1,5,IAC-2001-PUI,2001,19,0,0,86,54,20,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,46,
1,5,IAC-2001-PUI,2001,19,0,0,86,55,21,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,50,
1,5,IAC-2001-PUI,2001,19,0,0,86,56,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,51,
